log/MIP/log_instSingle_I30_J250_T8_0.txt:Result: runtime=300.01sec; objective=151186
log/MIP/log_instSingle_I30_J250_T8_1.txt:Result: runtime=300.64sec; objective=157002
log/MIP/log_instSingle_I30_J500_T12_0.txt:Result: runtime=300.01sec; objective=412524
log/MIP/log_instSingle_I30_J500_T12_1.txt:Result: runtime=160.01sec; objective=421898
log/MIP/log_instSingle_I30_J500_T8_0.txt:Result: runtime=156.07sec; objective=293992
log/MIP/log_instSingle_I30_J500_T8_1.txt:Result: runtime=300.02sec; objective=290472
log/MIP/log_instSingle_I50_J1000_T12_0.txt:Result: runtime=197.31sec; objective=789867
log/MIP/log_instSingle_I50_J1000_T12_1.txt:Result: runtime=259.36sec; objective=769770
log/MIP/log_instSingle_I50_J1000_T8_0.txt:Result: runtime=286.78sec; objective=510800
log/MIP/log_instSingle_I50_J1000_T8_1.txt:Result: runtime=190.53sec; objective=541740
log/MIP/log_instSingle_I50_J250_T12_0.txt:Result: runtime=300.01sec; objective=229406
log/MIP/log_instSingle_I50_J250_T12_1.txt:Result: runtime=258.10sec; objective=228851
log/MIP/log_instSingle_I50_J250_T8_0.txt:Result: runtime=219.10sec; objective=158055
log/MIP/log_instSingle_I50_J250_T8_1.txt:Result: runtime=300.00sec; objective=161124
log/MIP/log_instSingle_I50_J500_T12_0.txt:Result: runtime=257.88sec; objective=407385
log/MIP/log_instSingle_I50_J500_T12_1.txt:Result: runtime=274.78sec; objective=421229
log/MIP/log_instSingle_I50_J500_T8_0.txt:Result: runtime=298.18sec; objective=286869
log/MIP/log_instSingle_I50_J500_T8_1.txt:Result: runtime=201.89sec; objective=278307
